index,r_schedule,g_schedule,b_schedule,orig_r_schedule,orig_g_schedule,orig_b_schedule,orig_config_idx,circuit_distance,collisions
1,"[1, 3, 2, 5, 4, 6]","[5, 1, 4, 3, 6, 2]","[1, 5, 3, 6, 2, 4]","[1, 3, 2, 5, 4, 6]","[2, 6, 3, 4, 1, 5]","[2, 5, 3, 6, 1, 4]",0,6,0
2,"[1, 3, 2, 5, 4, 6]","[6, 1, 4, 3, 5, 2]","[1, 5, 3, 6, 2, 4]","[1, 3, 2, 5, 4, 6]","[2, 6, 3, 4, 1, 5]","[2, 5, 3, 6, 1, 4]",0,6,0
3,"[1, 3, 2, 5, 4, 6]","[5, 2, 4, 3, 6, 1]","[1, 5, 3, 6, 2, 4]","[1, 3, 2, 5, 4, 6]","[2, 6, 3, 4, 1, 5]","[2, 5, 3, 6, 1, 4]",0,6,0
4,"[1, 3, 2, 5, 4, 6]","[6, 2, 4, 3, 5, 1]","[1, 5, 3, 6, 2, 4]","[1, 3, 2, 5, 4, 6]","[2, 6, 3, 4, 1, 5]","[2, 5, 3, 6, 1, 4]",0,6,0
5,"[1, 3, 2, 6, 4, 5]","[5, 1, 4, 3, 6, 2]","[1, 6, 3, 5, 2, 4]","[1, 3, 2, 5, 4, 6]","[2, 6, 3, 4, 1, 5]","[2, 5, 3, 6, 1, 4]",0,6,0
6,"[1, 3, 2, 6, 4, 5]","[6, 1, 4, 3, 5, 2]","[1, 6, 3, 5, 2, 4]","[1, 3, 2, 5, 4, 6]","[2, 6, 3, 4, 1, 5]","[2, 5, 3, 6, 1, 4]",0,6,0
7,"[1, 3, 2, 6, 4, 5]","[5, 2, 4, 3, 6, 1]","[1, 6, 3, 5, 2, 4]","[1, 3, 2, 5, 4, 6]","[2, 6, 3, 4, 1, 5]","[2, 5, 3, 6, 1, 4]",0,6,0
8,"[1, 3, 2, 6, 4, 5]","[6, 2, 4, 3, 5, 1]","[1, 6, 3, 5, 2, 4]","[1, 3, 2, 5, 4, 6]","[2, 6, 3, 4, 1, 5]","[2, 5, 3, 6, 1, 4]",0,6,0
9,"[2, 3, 1, 5, 4, 6]","[5, 1, 4, 3, 6, 2]","[2, 5, 3, 6, 1, 4]","[1, 3, 2, 5, 4, 6]","[2, 6, 3, 4, 1, 5]","[2, 5, 3, 6, 1, 4]",0,6,0
10,"[2, 3, 1, 5, 4, 6]","[6, 1, 4, 3, 5, 2]","[2, 5, 3, 6, 1, 4]","[1, 3, 2, 5, 4, 6]","[2, 6, 3, 4, 1, 5]","[2, 5, 3, 6, 1, 4]",0,6,0
11,"[2, 3, 1, 5, 4, 6]","[5, 2, 4, 3, 6, 1]","[2, 5, 3, 6, 1, 4]","[1, 3, 2, 5, 4, 6]","[2, 6, 3, 4, 1, 5]","[2, 5, 3, 6, 1, 4]",0,6,0
12,"[2, 3, 1, 5, 4, 6]","[6, 2, 4, 3, 5, 1]","[2, 5, 3, 6, 1, 4]","[1, 3, 2, 5, 4, 6]","[2, 6, 3, 4, 1, 5]","[2, 5, 3, 6, 1, 4]",0,6,0
13,"[2, 3, 1, 6, 4, 5]","[5, 1, 4, 3, 6, 2]","[2, 6, 3, 5, 1, 4]","[1, 3, 2, 5, 4, 6]","[2, 6, 3, 4, 1, 5]","[2, 5, 3, 6, 1, 4]",0,6,0
14,"[2, 3, 1, 6, 4, 5]","[6, 1, 4, 3, 5, 2]","[2, 6, 3, 5, 1, 4]","[1, 3, 2, 5, 4, 6]","[2, 6, 3, 4, 1, 5]","[2, 5, 3, 6, 1, 4]",0,6,0
15,"[2, 3, 1, 6, 4, 5]","[5, 2, 4, 3, 6, 1]","[2, 6, 3, 5, 1, 4]","[1, 3, 2, 5, 4, 6]","[2, 6, 3, 4, 1, 5]","[2, 5, 3, 6, 1, 4]",0,6,0
16,"[2, 3, 1, 6, 4, 5]","[6, 2, 4, 3, 5, 1]","[2, 6, 3, 5, 1, 4]","[1, 3, 2, 5, 4, 6]","[2, 6, 3, 4, 1, 5]","[2, 5, 3, 6, 1, 4]",0,6,0
17,"[6, 4, 5, 2, 3, 1]","[2, 6, 3, 4, 1, 5]","[6, 2, 4, 1, 5, 3]","[1, 3, 2, 5, 4, 6]","[2, 6, 3, 4, 1, 5]","[2, 5, 3, 6, 1, 4]",0,6,0
18,"[6, 4, 5, 2, 3, 1]","[2, 5, 3, 4, 1, 6]","[6, 2, 4, 1, 5, 3]","[1, 3, 2, 5, 4, 6]","[2, 6, 3, 4, 1, 5]","[2, 5, 3, 6, 1, 4]",0,6,0
19,"[6, 4, 5, 2, 3, 1]","[1, 6, 3, 4, 2, 5]","[6, 2, 4, 1, 5, 3]","[1, 3, 2, 5, 4, 6]","[2, 6, 3, 4, 1, 5]","[2, 5, 3, 6, 1, 4]",0,6,0
20,"[6, 4, 5, 2, 3, 1]","[1, 5, 3, 4, 2, 6]","[6, 2, 4, 1, 5, 3]","[1, 3, 2, 5, 4, 6]","[2, 6, 3, 4, 1, 5]","[2, 5, 3, 6, 1, 4]",0,6,0
21,"[5, 4, 6, 2, 3, 1]","[2, 6, 3, 4, 1, 5]","[5, 2, 4, 1, 6, 3]","[1, 3, 2, 5, 4, 6]","[2, 6, 3, 4, 1, 5]","[2, 5, 3, 6, 1, 4]",0,6,0
22,"[5, 4, 6, 2, 3, 1]","[2, 5, 3, 4, 1, 6]","[5, 2, 4, 1, 6, 3]","[1, 3, 2, 5, 4, 6]","[2, 6, 3, 4, 1, 5]","[2, 5, 3, 6, 1, 4]",0,6,0
23,"[5, 4, 6, 2, 3, 1]","[1, 6, 3, 4, 2, 5]","[5, 2, 4, 1, 6, 3]","[1, 3, 2, 5, 4, 6]","[2, 6, 3, 4, 1, 5]","[2, 5, 3, 6, 1, 4]",0,6,0
24,"[5, 4, 6, 2, 3, 1]","[1, 5, 3, 4, 2, 6]","[5, 2, 4, 1, 6, 3]","[1, 3, 2, 5, 4, 6]","[2, 6, 3, 4, 1, 5]","[2, 5, 3, 6, 1, 4]",0,6,0
25,"[6, 4, 5, 1, 3, 2]","[2, 6, 3, 4, 1, 5]","[6, 1, 4, 2, 5, 3]","[1, 3, 2, 5, 4, 6]","[2, 6, 3, 4, 1, 5]","[2, 5, 3, 6, 1, 4]",0,6,0
