Drug_Name,Target_Name,Mol_Desc_1,Mol_Desc_2,Mol_Desc_3,Mol_Desc_4,Mol_Desc_5,Mol_Desc_6,Mol_Desc_7,Mol_Desc_8,Mol_Desc_9,Mol_Desc_10,Mol_Desc_11,Mol_Desc_12,Mol_Desc_13,Mol_Desc_14,Mol_Desc_15,Mol_Desc_16,Mol_Desc_17,Mol_Desc_18,Mol_Desc_19,Mol_Desc_20,Prot_Desc_1,Prot_Desc_2,Prot_Desc_3,Prot_Desc_4,Prot_Desc_5,Prot_Desc_6,Prot_Desc_7,Prot_Desc_8,Prot_Desc_9,Prot_Desc_10,Prot_Desc_11,Prot_Desc_12,Prot_Desc_13,Prot_Desc_14,Prot_Desc_15,Prot_Desc_16,Prot_Desc_17,Prot_Desc_18,Prot_Desc_19,Prot_Desc_20,Binding_Affinity,Interaction_Label
Hydroxychloroquine,SCN4A,0.6247,0.5726,0.7233,0.226,0.9128,0.7744,0.9957,0.6447,0.4475,0.4915,0.2721,0.7226,0.8918,0.2816,0.5155,0.4075,0.5728,0.5163,0.8808,0.1238,0.6204,0.3231,0.7567,0.9457,0.1343,0.1775,0.7003,0.8999,0.9097,0.8615,0.4782,0.4575,0.1446,0.6078,0.3411,0.1355,0.5911,0.097,0.2046,0.9005,661.41,0
Ibuprofen,HMGCR,0.7575,0.182,0.3641,0.2026,0.2053,0.7522,0.6439,0.7537,0.134,0.1527,0.544,0.9879,0.769,0.1915,0.46,0.6419,0.3678,0.881,0.6856,0.4012,0.464,0.5072,0.2629,0.28,0.1703,0.7245,0.2617,0.496,0.1972,0.5252,0.9825,0.4863,0.9866,0.023,0.5733,0.8369,0.2644,0.8144,0.5805,0.6974,881.6,0
Levobupivacaine,TNF,0.841,0.2566,0.4962,0.5893,0.4562,0.483,0.2783,0.0267,0.4213,0.3619,0.1924,0.3714,0.325,0.9753,0.9208,0.224,0.6423,0.56,0.1965,0.5472,0.6718,0.4373,0.1485,0.4587,0.5215,0.3923,0.1068,0.1168,0.1915,0.7389,0.0927,0.3954,0.1018,0.4589,0.2787,0.7131,0.7045,0.7141,0.836,0.6717,951.94,0
Ibuprofen,HMGCR,0.7618,0.2195,0.7296,0.7408,0.4335,0.4044,0.8656,0.1779,0.2791,0.6857,0.4193,0.5333,0.1117,0.7778,0.6811,0.893,0.0922,0.508,0.809,0.2964,0.6885,0.3692,0.873,0.9674,0.8937,0.0422,0.0418,0.0573,0.8062,0.7446,0.2484,0.8609,0.6268,0.4397,0.7757,0.5866,0.9557,0.9226,0.694,0.7118,397.18,1
Ibuprofen,HMGCR,0.354,0.0706,0.7277,0.9825,0.489,0.1805,0.2737,0.6212,0.4905,0.2505,0.8624,0.2962,0.5097,0.3559,0.8033,0.5291,0.02,0.9119,0.719,0.1013,0.4163,0.1192,0.6596,0.4825,0.5286,0.7367,0.8316,0.9394,0.4674,0.3171,0.3918,0.9544,0.1983,0.6078,0.4146,0.0171,0.1936,0.9802,0.1669,0.9361,130.18,1
Atorvastatin,TNF,0.9967,0.3479,0.4245,0.7014,0.9766,0.2788,0.2604,0.5256,0.009,0.4814,0.6906,0.3879,0.0807,0.5716,0.8497,0.2365,0.7428,0.9837,0.4823,0.4446,0.5355,0.428,0.3282,0.32,0.3633,0.9516,0.0046,0.2382,0.4895,0.2268,0.0598,0.9203,0.1831,0.883,0.8209,0.4833,0.8639,0.4389,0.9905,0.9979,914.28,0
Levobupivacaine,HMGCR,0.4345,0.979,0.5437,0.5619,0.5187,0.3387,0.0739,0.0514,0.867,0.1365,0.4873,0.0623,0.8279,0.545,0.5186,0.086,0.4518,0.8777,0.0736,0.5351,0.1,0.3215,0.8012,0.4258,0.4644,0.8097,0.8505,0.5831,0.4659,0.1934,0.8181,0.1149,0.1091,0.9573,0.4067,0.4837,0.5289,0.6083,0.3599,0.4833,72.17,1
Levobupivacaine,TNF,0.0245,0.3539,0.9239,0.4091,0.8301,0.8127,0.0786,0.9354,0.0581,0.1141,0.4915,0.3987,0.0565,0.1368,0.6204,0.8989,0.4358,0.2071,0.1278,0.343,0.9603,0.4122,0.5681,0.0488,0.6903,0.0756,0.8312,0.4906,0.1316,0.5016,0.6836,0.9022,0.6056,0.9474,0.8424,0.6576,0.0348,0.5993,0.5763,0.8689,420.65,1
Levobupivacaine,TNF,0.3626,0.4605,0.632,0.5951,0.6639,0.553,0.8623,0.7585,0.4299,0.3673,0.3874,0.1951,0.9427,0.9399,0.3172,0.1974,0.2179,0.9917,0.6023,0.3879,0.3175,0.7649,0.3324,0.6457,0.6098,0.8871,0.3725,0.1387,0.6355,0.6026,0.0907,0.927,0.2422,0.456,0.2121,0.6517,0.7027,0.8106,0.2629,0.5962,294.92,1
Ibuprofen,TNF,0.1278,0.6531,0.6426,0.6008,0.1072,0.2009,0.2307,0.3588,0.6611,0.7269,0.6522,0.6088,0.4971,0.5712,0.7624,0.9899,0.8084,0.0491,0.2957,0.8619,0.6474,0.068,0.7007,0.6526,0.0754,0.4947,0.2018,0.639,0.6562,0.6843,0.8071,0.5096,0.0953,0.3073,0.0916,0.7718,0.686,0.7932,0.9534,0.8055,762.73,0
